# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2400113831088619 0.01311497792828589 0 0
0.375 0.25 0.5 0.5551147544709644 0.01905532849404823 0 0
0.75 0.5 1 0.5662768523891718 0.01362663280791613 0 0
1.25 1 1.5 0.3400620598451663 0.01068759579120333 0 0
1.75 1.5 2 0.1874065198705399 0.007812133836158245 0 0
2.5 2 3 0.08893589852919824 0.006876125913388393 0 0
3.5 3 4 0.02920927725974252 0.001540837172976367 0 0
5 4 6 0.007164942985042896 0.0004302713762540377 0 0
7 6 8 0.0005835635026167647 0.0001104405081531844 0 0
54 8 100 1.776331729188691e-08 1.212009780497561e-08 0 0
