# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.196182301933578 0.0113179883064182 0 0
0.375 0.25 0.5 0.4993268165920019 0.01621261829976988 0 0
0.75 0.5 1 0.5810376415459344 0.01459694896532992 0 0
1.25 1 1.5 0.3575580658298038 0.009402313167160123 0 0
1.75 1.5 2 0.216130372340485 0.009958548786052459 0 0
2.5 2 3 0.09484916416894755 0.003296613333763855 0 0
3.5 3 4 0.0328845685530473 0.001543601387685687 0 0
5 4 6 0.009006512036262395 0.0005017748544567464 0 0
7 6 8 0.000795459145997712 0.0001301044249977146 0 0
54 8 100 1.21471524288733e-07 7.106474164736991e-08 0 0
