# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1970274354184264 0.01132171181228762 0 0
0.375 0.25 0.5 0.5022092761319069 0.01624373935034164 0 0
0.75 0.5 1 0.5829647850405391 0.01461561439747066 0 0
1.25 1 1.5 0.3569558943757654 0.009364394938483438 0 0
1.75 1.5 2 0.2173105187957773 0.009968518262599162 0 0
2.5 2 3 0.09375446126351852 0.003293191292264039 0 0
3.5 3 4 0.03276627462119018 0.001543478277846457 0 0
5 4 6 0.008858327042950824 0.0005005304903213792 0 0
7 6 8 0.0007800938545712019 0.0001299755153248783 0 0
54 8 100 3.202799558455742e-08 2.128440616366837e-08 0 0
