# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1798304390665471 0.006666670235904846 0 0
0.375 0.25 0.5 0.4489960295386601 0.00936327585584062 0 0
0.75 0.5 1 0.5286513015168686 0.007222482755616459 0 0
1.25 1 1.5 0.3754471957251981 0.006020114955266437 0 0
1.75 1.5 2 0.2251310416474828 0.004108718324141729 0 0
2.5 2 3 0.1204185931151895 0.002163744538237133 0 0
3.5 3 4 0.04470310831749166 0.001134244666995682 0 0
5 4 6 0.01359112135044335 0.0004468269683960999 0 0
7 6 8 0.0009100932261279528 7.686210719932287e-05 0 0
54 8 100 5.387813979043387e-09 2.64720361738725e-09 0 0
