# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2388269176214533 0.01311126102547375 0 0
0.375 0.25 0.5 0.5414115524938174 0.01806875963473441 0 0
0.75 0.5 1 0.5703065144817886 0.01395307439581902 0 0
1.25 1 1.5 0.3432170311552399 0.01086575248618028 0 0
1.75 1.5 2 0.1859659652775229 0.007776068554484273 0 0
2.5 2 3 0.09043102908951725 0.006886566109060619 0 0
3.5 3 4 0.03014392338074571 0.001560052485441183 0 0
5 4 6 0.007203983092357315 0.0004299407443828959 0 0
7 6 8 0.0006349233741974684 0.0001113898140110044 0 0
54 8 100 3.843618351084073e-08 2.25119816267458e-08 0 0
