# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.06871789902422927 0.006043650385069709 0 0
0.375 0.25 0.5 0.3431886186324937 0.01339131589383302 0 0
0.75 0.5 1 0.6863411518854176 0.01437977640630804 0 0
1.25 1 1.5 0.5076992196699238 0.01375455145700426 0 0
1.75 1.5 2 0.2635585808661285 0.008219773154086703 0 0
2.5 2 3 0.106034760242486 0.003575058555970573 0 0
3.5 3 4 0.03698936022365259 0.002051343087159305 0 0
5 4 6 0.01014300492939593 0.0005703940253242802 0 0
7 6 8 0.0005669383315152092 6.555842155057139e-05 0 0
54 8 100 1.507025034327108e-07 1.427390037594632e-07 0 0
