# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1881796549441074 0.00855996436726773 0 0
0.375 0.25 0.5 0.4842908644067731 0.01673119076912039 0 0
0.75 0.5 1 0.562661475701959 0.01358796797541037 0 0
1.25 1 1.5 0.3691381706331147 0.01149642053788143 0 0
1.75 1.5 2 0.2091875206491356 0.007450130407519493 0 0
2.5 2 3 0.1006451188845825 0.003545985898017288 0 0
3.5 3 4 0.03697821643638952 0.002051329306669322 0 0
5 4 6 0.01014300492939593 0.0005703940253242802 0 0
7 6 8 0.0005669383315152092 6.555842155057139e-05 0 0
54 8 100 1.507025034327108e-07 1.427390037594632e-07 0 0
