# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1876916783810818 0.008474551184214677 0 0
0.375 0.25 0.5 0.4916281509413766 0.01706312903340178 0 0
0.75 0.5 1 0.5624167615987365 0.01349728436568725 0 0
1.25 1 1.5 0.3683227787663251 0.01149742150450923 0 0
1.75 1.5 2 0.2085550148123272 0.007452344555283767 0 0
2.5 2 3 0.1003346107631392 0.003544055175693117 0 0
3.5 3 4 0.03706555921517087 0.002070881168756653 0 0
5 4 6 0.00998580550371477 0.0005550154341234282 0 0
7 6 8 0.00054425470859033 6.499175163617889e-05 0 0
54 8 100 1.471987556878095e-07 1.427226616073991e-07 0 0
