# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1886924644473223 0.008566412490935855 0 0
0.375 0.25 0.5 0.4858913211010789 0.01674335407809005 0 0
0.75 0.5 1 0.56284657603816 0.01358800537519128 0 0
1.25 1 1.5 0.368446456192513 0.0114916142911024 0 0
1.75 1.5 2 0.2090125145913456 0.00745039979194911 0 0
2.5 2 3 0.1004920106207747 0.003545160400785609 0 0
3.5 3 4 0.0369451968903169 0.002051297370659024 0 0
5 4 6 0.01014231560019366 0.000570393819208594 0 0
7 6 8 0.0005669383315152092 6.555842155057139e-05 0 0
54 8 100 1.507025034327108e-07 1.427390037594632e-07 0 0
