# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.0548931014132874 0.003633587872033057 0 0
0.375 0.25 0.5 0.2933119736887076 0.008287785896874025 0 0
0.75 0.5 1 0.6058565895150974 0.008025773011596094 0 0
1.25 1 1.5 0.5176974493443574 0.007022860156697864 0 0
1.75 1.5 2 0.2904866138742478 0.004658595951268094 0 0
2.5 2 3 0.1286815983212677 0.002217707374238577 0 0
3.5 3 4 0.04473894761172897 0.001133911707883919 0 0
5 4 6 0.01359402584774663 0.0004468295310280936 0 0
7 6 8 0.0009100932261279528 7.686210719932287e-05 0 0
54 8 100 5.387813979043387e-09 2.64720361738725e-09 0 0
