# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.08022781063357663 0.004241767910550844 0 0
0.375 0.25 0.5 0.3930559905183192 0.009452275463531504 0 0
0.75 0.5 1 0.5159265264941545 0.007600248916201805 0 0
1.25 1 1.5 0.371638052089798 0.006649668479498041 0 0
1.75 1.5 2 0.2243774331536671 0.005554837579847745 0 0
2.5 2 3 0.1190070682188736 0.002203164141339206 0 0
3.5 3 4 0.06799628866647586 0.001745001646763071 0 0
5 4 6 0.03501548059639607 0.0008051656718779589 0 0
7 6 8 0.01872750562390367 0.0005823561859843035 0 0
54 8 100 0.0003263218954072363 1.043305859963576e-05 0 0
