# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1254881048181002 0.005115328470524669 0 0
0.375 0.25 0.5 0.55776913110672 0.01152122670443617 0 0
0.75 0.5 1 0.6506552876191906 0.008122849890496889 0 0
1.25 1 1.5 0.4087899498582561 0.005977746934690267 0 0
1.75 1.5 2 0.2220983561474237 0.004081096680934274 0 0
2.5 2 3 0.1121402661552483 0.002093238037842058 0 0
3.5 3 4 0.04380698943947584 0.001129632380274086 0 0
5 4 6 0.0135734156912379 0.0004466867565626942 0 0
7 6 8 0.0009100932261279528 7.686210719932287e-05 0 0
54 8 100 5.387813979043387e-09 2.64720361738725e-09 0 0
