# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2319418107793876 0.006857208218124218 2.150181806561169e-05 0
0.375 0.25 0.5 0.3535998961940712 0.01063285398767686 2.150181806561169e-05 0
0.75 0.5 1 0.2524910313334417 0.005510361067034242 2.150181806561169e-05 0
1.25 1 1.5 0.1466287580859872 0.004197421155096266 2.150181806561169e-05 0
1.75 1.5 2 0.08617134216220171 0.003448026281605972 2.150181806561169e-05 0
2.5 2 3 0.04537892058093668 0.001803678235628502 2.150181806561169e-05 0
3.5 3 4 0.02181381029562902 0.001312891890705478 2.150181806561169e-05 0
5 4 6 0.009023752375020526 0.0003441859957392815 2.150181806561169e-05 0
7 6 8 0.006222854134864419 0.0003924685154548622 2.150181806561169e-05 0
54 8 100 0.0003333469288402721 1.065517938955366e-05 2.150181806561169e-05 0
