# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1418838844373706 0.006263066347928673 0 0
0.375 0.25 0.5 0.3778383738455887 0.01104905951501567 0 0
0.75 0.5 1 0.4276897313498885 0.007567311890811423 0 0
1.25 1 1.5 0.3084124432767854 0.006529818624029141 0 0
1.75 1.5 2 0.1996022123368865 0.005200866895164075 0 0
2.5 2 3 0.1050654536226241 0.002655894665892848 0 0
3.5 3 4 0.05578910124702061 0.001744611929028384 0 0
5 4 6 0.03265476740894648 0.0008380190136896334 0 0
7 6 8 0.02190553085531173 0.0007013297923194845 0 0
54 8 100 0.0006516423276675978 1.52906410318628e-05 0 0
