# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.02296396391326507 0.002999938343202264 0 0
0.375 0.25 0.5 0.1651113034358346 0.007213864584086452 0 0
0.75 0.5 1 0.3816478777634653 0.0080556835407594 0 0
1.25 1 1.5 0.3743108570500573 0.007102332614800322 0 0
1.75 1.5 2 0.2731515846195472 0.005988220578948701 0 0
2.5 2 3 0.1599510732371896 0.003302609319094617 0 0
3.5 3 4 0.08745850685817108 0.002426597377810296 0 0
5 4 6 0.04281011409442215 0.0009561155249688328 0 0
7 6 8 0.02244414507767765 0.0007036468786151302 0 0
54 8 100 0.0006516401888703438 1.529064088229212e-05 0 0
