# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1799738517440201 0.006666815239515496 0 0
0.375 0.25 0.5 0.4507034067763321 0.009374749541470453 0 0
0.75 0.5 1 0.5295869864105892 0.007226718163562165 0 0
1.25 1 1.5 0.3758958037286249 0.006024830572894591 0 0
1.75 1.5 2 0.2248917469546246 0.004103688418962049 0 0
2.5 2 3 0.1203800152285335 0.002164448537294007 0 0
3.5 3 4 0.0445131718545961 0.001131984118661405 0 0
5 4 6 0.01352359192493271 0.0004447098474132473 0 0
7 6 8 0.0008693793683778975 7.350707570171086e-05 0 0
54 8 100 5.226941397909602e-09 2.642310921248197e-09 0 0
