# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1539621524227764 0.00627466588826641 0 0
0.375 0.25 0.5 0.3771190841590557 0.009170006260012223 0 0
0.75 0.5 1 0.4540975965712917 0.007568430283097615 0 0
1.25 1 1.5 0.3215739591390235 0.005782388858166241 0 0
1.75 1.5 2 0.2070222206004249 0.004328395676051366 0 0
2.5 2 3 0.1099829555196776 0.002296752218129182 0 0
3.5 3 4 0.06124104337475229 0.001781497678314439 0 0
5 4 6 0.03501828072555354 0.0008027182355780828 0 0
7 6 8 0.01883883030068071 0.0005825836565401178 0 0
54 8 100 0.0003263700069584756 1.043309844092038e-05 0 0
