0.375	0.489443	0.0113039	0.5939437270579689	0.555708090942031	1.2220037940403556	1.1268944801202716
0.625	0.559212	0.0122685	0.5910665049582633	0.5570023350417366	1.0643848703146939	0.9886269391600668
0.875	0.488452	0.012719	0.48625250638677425	0.45743121361322564	1.0047645215752874	0.927224128281812
1.125	0.413578	0.0104367	0.37053524023281337	0.34625201576718656	0.9031753815947594	0.8299614293574671
1.375	0.326146	0.00984839	0.3085261580175494	0.2843636739824506	0.9550357242376987	0.8628306055655183
1.75	0.214893	0.00492854	0.2088812679309791	0.19475632206902088	0.9784540217547086	0.8998649090620234
2.5	0.113334	0.0025088	0.09895550196716564	0.09174003583283434	0.8781791138028064	0.8044186750337295
3.5	0.0434932	0.00171913	0.041763660302120635	0.037511084497879356	0.9720722194163611	0.850620633719301
4.5	0.0198144	0.000878715	0.017969507761222074	0.015649551838777927	0.9179379600760766	0.7787603805246985
5.5	0.0070507	0.000488743	0.006144892622343779	0.00514063805765622	0.8905870335497286	0.7100385327061041
6.5	0.00191896	0.000299918	0.0022928644588607935	0.0014736764611392068	1.244244031479377	0.718559216113069
7.5	0.000189337	0.0000504092	0.0005346300324000044	0.00016849371759999554	2.9427451156025537	0.7708647440656564
