# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1665253753287737 0.009924181223804958 0 0
0.375 0.25 0.5 0.6474750624033647 0.02049387898569682 0 0
0.75 0.5 1 0.7151118146527207 0.01553668328108692 0 0
1.25 1 1.5 0.3841613283598889 0.009859227498498635 0 0
1.75 1.5 2 0.2080188920835657 0.009812033525052829 0 0
2.5 2 3 0.08871581481479307 0.003171073442086661 0 0
3.5 3 4 0.03209984104686069 0.001529398615863346 0 0
5 4 6 0.009004588240718685 0.0005017741794667402 0 0
7 6 8 0.000795459145997712 0.0001301044249977146 0 0
54 8 100 1.21471524288733e-07 7.106474164736991e-08 0 0
