# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2232040872162031 0.01166345342398279 0 0
0.375 0.25 0.5 0.5708970235352046 0.04228301800337619 0 0
0.75 0.5 1 0.6185612424555826 0.01897977413316528 0 0
1.25 1 1.5 0.349876780281242 0.01095828246790979 0 0
1.75 1.5 2 0.1750547581572718 0.007023476479894083 0 0
2.5 2 3 0.07631531266447525 0.003128137269669507 0 0
3.5 3 4 0.02471951367147372 0.001597499690642594 0 0
5 4 6 0.006773252620951614 0.0005764083939352712 0 0
7 6 8 0.000528457758121691 0.0001027087760125732 0 0
54 8 100 1.709013367765755e-07 1.491915303042971e-07 0 0
