# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.06900570024409639 0.006064189841281361 0 0
0.375 0.25 0.5 0.4197244459691131 0.01788756205781334 0 0
0.75 0.5 1 0.7939070784894037 0.02934642646704083 0 0
1.25 1 1.5 0.4892676197754567 0.01236210227614763 0 0
1.75 1.5 2 0.2277584793108687 0.007906550659791118 0 0
2.5 2 3 0.08136275494451246 0.003209782216941027 0 0
3.5 3 4 0.02474175042268646 0.001597518159317556 0 0
5 4 6 0.006773429672236002 0.0005764084031251939 0 0
7 6 8 0.000528457758121691 0.0001027087760125732 0 0
54 8 100 1.709013367765755e-07 1.491915303042971e-07 0 0
