# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.05281505871133855 0.005346513233843195 0 0
0.375 0.25 0.5 0.3915042836671348 0.01701582333574126 0 0
0.75 0.5 1 0.8402994614858316 0.0296847199501848 0 0
1.25 1 1.5 0.4811122898690817 0.01239825870025005 0 0
1.75 1.5 2 0.2161696580793579 0.007256084988257462 0 0
2.5 2 3 0.07921684303674338 0.003156883311415584 0 0
3.5 3 4 0.02466668684088049 0.001597423579785895 0 0
5 4 6 0.006773209931730088 0.000576408392354474 0 0
7 6 8 0.000528457758121691 0.0001027087760125732 0 0
54 8 100 1.709013367765755e-07 1.491915303042971e-07 0 0
