# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1919340425755501 0.01206189166030181 0 0
0.375 0.25 0.5 0.7743251743868228 0.04570133553684554 0 0
0.75 0.5 1 0.7650735272694839 0.02133637627346003 0 0
1.25 1 1.5 0.3631644904049553 0.0108570166663561 0 0
1.75 1.5 2 0.1662021814424943 0.006243228497853499 0 0
2.5 2 3 0.07080697527517128 0.003015691995211777 0 0
3.5 3 4 0.02417209843877076 0.001593370394952174 0 0
5 4 6 0.006768256269918014 0.0005764000258952794 0 0
7 6 8 0.000528457758121691 0.0001027087760125732 0 0
54 8 100 1.709013367765755e-07 1.491915303042971e-07 0 0
