# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2369814157724734 0.01285624823211631 3.792832993907091e-05 0
0.375 0.25 0.5 0.5565722173504284 0.01909380466575996 3.792832993907091e-05 0
0.75 0.5 1 0.5662035375198792 0.0136445965023546 3.792832993907091e-05 0
1.25 1 1.5 0.3393568515682152 0.01058543167090428 3.792832993907091e-05 0
1.75 1.5 2 0.1922252881112294 0.007992296797181641 3.792832993907091e-05 0
2.5 2 3 0.08756332336800648 0.006876865542159369 3.792832993907091e-05 0
3.5 3 4 0.02879115272585383 0.001533008991538937 3.792832993907091e-05 0
5 4 6 0.007311461164871911 0.0004407483006268211 3.792832993907091e-05 0
7 6 8 0.000600155888352271 0.0001111222446365445 3.792832993907091e-05 0
9 8 10 1.405264342792017e-06 6.932576705567469e-07 3.792832993907091e-05 0
12.5 10 15 0 0 3.792832993907091e-05 0
17.5 15 20 0 0 3.792832993907091e-05 0
22.5 20 25 0 0 3.792832993907091e-05 0
62.5 25 100 0 0 3.792832993907091e-05 0
5050 100 10000 0 0 3.792832993907091e-05 0
