# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1720102786132578 0.009135433827980762 0 0
0.375 0.25 0.5 0.667186886549578 0.02108883328394819 0 0
0.75 0.5 1 0.7218145113311479 0.0155552470141346 0 0
1.25 1 1.5 0.3753445043446981 0.009617013670693064 0 0
1.75 1.5 2 0.2027539971430883 0.009830918068580411 0 0
2.5 2 3 0.0856509035750368 0.003116916063187476 0 0
3.5 3 4 0.03046955695102306 0.001501726833509324 0 0
5 4 6 0.008449034470803033 0.0004929472607007686 0 0
7 6 8 0.0007674363232584889 0.0001302528447965964 0 0
9 8 10 1.554259407688377e-06 9.858879749515748e-07 0 0
12.5 10 15 0 0 0 0
17.5 15 20 0 0 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
