# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2245983711679474 0.02200409907124727 0 0
0.375 0.25 0.5 0.8049030875453028 0.02638911592503807 0 0
0.75 0.5 1 0.7746124754853827 0.02711984230090869 0 0
1.25 1 1.5 0.3460208623737217 0.01062706647317748 0 0
1.75 1.5 2 0.1557295211311586 0.006053019893458034 0 0
2.5 2 3 0.06401581612293415 0.002831382865447042 0 0
3.5 3 4 0.02119216951318163 0.001418554552764632 0 0
5 4 6 0.006285776992924531 0.0005736435022781744 0 0
7 6 8 0.0004247073172977399 8.206425511840025e-05 0 0
9 8 10 6.066449692350652e-07 3.870209008265113e-07 0 0
12.5 10 15 0 0 0 0
17.5 15 20 0 0 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
