# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.117870859556538 0.02003561907960864 0 0
0.375 0.25 0.5 0.48537681652829 0.01922759870242878 0 0
0.75 0.5 1 0.800807829465605 0.02798742506555371 0 0
1.25 1 1.5 0.4545137581896739 0.01170079952437213 0 0
1.75 1.5 2 0.2151789914970673 0.007912968271312687 0 0
2.5 2 3 0.07306714128894734 0.003026412924425496 0 0
3.5 3 4 0.02163427140890724 0.001421171136666957 0 0
5 4 6 0.006286356250087284 0.000573643568930371 0 0
7 6 8 0.0004247073172977399 8.206425511840025e-05 0 0
9 8 10 6.066449692350652e-07 3.870209008265113e-07 0 0
12.5 10 15 0 0 0 0
17.5 15 20 0 0 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
