# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2006900735833462 0.008748385677256059 0 0
0.375 0.25 0.5 0.4984990087242709 0.01697462444106623 0 0
0.75 0.5 1 0.5646823057338966 0.01356404104225871 0 0
1.25 1 1.5 0.3632830624106708 0.01173198716865778 0 0
1.75 1.5 2 0.2023392168391061 0.007378932098857292 0 0
2.5 2 3 0.09552601965452502 0.003407954219776035 0 0
3.5 3 4 0.03609212951818614 0.001995537417175825 0 0
5 4 6 0.009602215717522043 0.0005474287127906113 0 0
7 6 8 0.0006071093947411119 9.86323326214243e-05 0 0
9 8 10 7.361292324149154e-06 6.598124751873739e-06 0 0
12.5 10 15 0 0 0 0
17.5 15 20 0 0 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
