# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.05814713252640607 0.005092517586571488 0 0
0.375 0.25 0.5 0.3643579017853157 0.0140612848354487 0 0
0.75 0.5 1 0.7357152177747701 0.01547492659315147 0 0
1.25 1 1.5 0.4848354855359874 0.01293223224207024 0 0
1.75 1.5 2 0.2458444652206241 0.007990073250530935 0 0
2.5 2 3 0.09875937082780631 0.003437944249263411 0 0
3.5 3 4 0.03603950861155609 0.001995137927170794 0 0
5 4 6 0.009602204240525538 0.0005474287118136933 0 0
7 6 8 0.0006071093947411119 9.86323326214243e-05 0 0
9 8 10 7.361292324149154e-06 6.598124751873739e-06 0 0
12.5 10 15 0 0 0 0
17.5 15 20 0 0 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
