# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2253688953221474 0.009052393266759265 0 0
0.375 0.25 0.5 0.3320243189266552 0.01257478816750181 0 0
0.75 0.5 1 0.2621919916720593 0.008834944704594229 0 0
1.25 1 1.5 0.1388976038756744 0.0062312445435242 0 0
1.75 1.5 2 0.07749214896551909 0.004117618209488521 0 0
2.5 2 3 0.03654716815423507 0.002147173920574519 0 0
3.5 3 4 0.01570445523073236 0.001419315251638594 0 0
5 4 6 0.006975407213954675 0.0004898905384295632 0 0
7 6 8 0.000541298075065328 6.496736204539193e-05 0 0
54 8 100 1.471987556878095e-07 1.427226616073991e-07 0 0
