# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1788953278211047 0.006659820744748007 0 0
0.375 0.25 0.5 0.447504169693401 0.009497426050380016 0 0
0.75 0.5 1 0.5289469160764466 0.007201797980410942 0 0
1.25 1 1.5 0.3741312800421266 0.005974115795437279 0 0
1.75 1.5 2 0.2277173303562758 0.004193992037804842 0 0
2.5 2 3 0.1203248029252109 0.002149758437173091 0 0
3.5 3 4 0.04489682875106817 0.001137971786831944 0 0
5 4 6 0.01359602941268191 0.0004454655545982473 0 0
7 6 8 0.0009511815684401738 8.905965384662782e-05 0 0
9 8 10 3.520406506147139e-07 1.673717265822164e-07 0 0
12.5 10 15 0 0 0 0
17.5 15 20 0 0 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
