# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.02304695374167348 0.003010561663146643 0 0
0.375 0.25 0.5 0.1644164230363577 0.007219169410103714 0 0
0.75 0.5 1 0.3818303898237406 0.008067961502688048 0 0
1.25 1 1.5 0.3776801421012054 0.007177019409403075 0 0
1.75 1.5 2 0.2717107042567773 0.005915289256367849 0 0
2.5 2 3 0.1600616791879615 0.003298470020244077 0 0
3.5 3 4 0.08698704342487928 0.002306752981100163 0 0
5 4 6 0.04247620258317607 0.0009410003259256555 0 0
7 6 8 0.02253409197320577 0.0007058456914112895 0 0
9 8 10 0.01366917938143446 0.0004712972983394164 0 0
12.5 10 15 0.005964609154371804 0.000202502048335551 0 0
17.5 15 20 0.0005463006225195524 4.496269000484008e-05 0 0
22.5 20 25 2.285202339753443e-07 1.279286741076749e-07 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
