# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1791194928037979 0.00666047208435929 8.158238593162328e-05 0
0.375 0.25 0.5 0.4521721540180896 0.009538170501244373 8.158238593162328e-05 0
0.75 0.5 1 0.5299601242176875 0.007208278719850279 8.158238593162328e-05 0
1.25 1 1.5 0.3733218772632051 0.005966548019311501 8.158238593162328e-05 0
1.75 1.5 2 0.2261837977033141 0.004173372557453952 8.158238593162328e-05 0
2.5 2 3 0.1200308668569201 0.002149317007917837 8.158238593162328e-05 0
3.5 3 4 0.04465421227332285 0.001135949877085572 8.158238593162328e-05 0
5 4 6 0.01358521884493788 0.0004454249277972426 8.158238593162328e-05 0
7 6 8 0.0009511815684401738 8.905965384662782e-05 8.158238593162328e-05 0
9 8 10 3.520406506147139e-07 1.673717265822164e-07 8.158238593162328e-05 0
12.5 10 15 0 0 8.158238593162328e-05 0
17.5 15 20 0 0 8.158238593162328e-05 0
22.5 20 25 0 0 8.158238593162328e-05 0
62.5 25 100 0 0 8.158238593162328e-05 0
5050 100 10000 0 0 8.158238593162328e-05 0
