# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.154183453099994 0.006295749577517201 0 0
0.375 0.25 0.5 0.3762204000624371 0.009143567960497145 0 0
0.75 0.5 1 0.4555062483690245 0.007598931991818273 0 0
1.25 1 1.5 0.3200037293684412 0.005728160595089924 0 0
1.75 1.5 2 0.2081238145886968 0.004374698737364067 0 0
2.5 2 3 0.1102960780106606 0.002302163234027234 0 0
3.5 3 4 0.0606286887034649 0.001773459396345261 0 0
5 4 6 0.03506532139756228 0.000803659089077026 0 0
7 6 8 0.01899102633164184 0.0005837299577716818 0 0
9 8 10 0.01031524323987223 0.0004192305317822112 0 0
12.5 10 15 0.001894002005444361 9.783736680208101e-05 0 0
17.5 15 20 6.589449368206995e-06 2.203393074471716e-06 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
