# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2521402729555225 0.007613356124427802 8.761171027173207e-05 0
0.375 0.25 0.5 0.3419497016407481 0.007879999380534372 8.761171027173207e-05 0
0.75 0.5 1 0.2599020858645802 0.005359772163058951 8.761171027173207e-05 0
1.25 1 1.5 0.1465416970127303 0.003929811916277995 8.761171027173207e-05 0
1.75 1.5 2 0.08731137004078994 0.002636175062365136 8.761171027173207e-05 0
2.5 2 3 0.04460697383107405 0.001364102947088885 8.761171027173207e-05 0
3.5 3 4 0.02100241006418161 0.001194932505621583 8.761171027173207e-05 0
5 4 6 0.01081008327360734 0.0004507026006887139 8.761171027173207e-05 0
7 6 8 0.006640521595208159 0.0003564268138721069 8.761171027173207e-05 0
9 8 10 0.006234864988319723 0.0003263988395719677 8.761171027173207e-05 0
12.5 10 15 0.001740811524587743 9.555431353441307e-05 8.761171027173207e-05 0
17.5 15 20 6.589449368206995e-06 2.203393074471716e-06 8.761171027173207e-05 0
22.5 20 25 0 0 8.761171027173207e-05 0
62.5 25 100 0 0 8.761171027173207e-05 0
5050 100 10000 0 0 8.761171027173207e-05 0
