# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1541485467369285 0.00629572401004822 0 0
0.375 0.25 0.5 0.374794584367444 0.009135957159209089 0 0
0.75 0.5 1 0.4548152537314165 0.007592904367021624 0 0
1.25 1 1.5 0.3204924167356892 0.005733841943312421 0 0
1.75 1.5 2 0.208680324501533 0.004380261640594324 0 0
2.5 2 3 0.1103915644911455 0.002302559197159942 0 0
3.5 3 4 0.06065927455614753 0.001773599210785116 0 0
5 4 6 0.03508172327976622 0.0008037626485308472 0 0
7 6 8 0.01900514829909875 0.0005837655686594359 0 0
9 8 10 0.01031572282026587 0.0004192307894082809 0 0
12.5 10 15 0.001894002005444361 9.783736680208101e-05 0 0
17.5 15 20 6.589449368206995e-06 2.203393074471716e-06 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
