# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1233543454174833 0.00502224349865953 0 0
0.375 0.25 0.5 0.5574298928714092 0.01143969386225463 0 0
0.75 0.5 1 0.6507442114254011 0.008136308700428359 0 0
1.25 1 1.5 0.4099317655610959 0.00602431617062224 0 0
1.75 1.5 2 0.2229341338801748 0.004128332734579574 0 0
2.5 2 3 0.1115590673549715 0.002078901471199238 0 0
3.5 3 4 0.04394547442896286 0.001133113076947244 0 0
5 4 6 0.01358630316417174 0.0004454478178650473 0 0
7 6 8 0.0009511815684401738 8.905965384662782e-05 0 0
9 8 10 3.520406506147139e-07 1.673717265822164e-07 0 0
12.5 10 15 0 0 0 0
17.5 15 20 0 0 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
