# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1789445196509903 0.00665985075364599 0 0
0.375 0.25 0.5 0.449333637050257 0.009506487093188786 0 0
0.75 0.5 1 0.5295984661975743 0.007208484596369954 0 0
1.25 1 1.5 0.3737920079195771 0.005970978282330344 0 0
1.75 1.5 2 0.22683237131923 0.004182867368205621 0 0
2.5 2 3 0.120200384856476 0.002149387556658454 0 0
3.5 3 4 0.04483974943090763 0.001137702663095707 0 0
5 4 6 0.01359511596840395 0.000445464891114249 0 0
7 6 8 0.0009511815684401738 8.905965384662782e-05 0 0
9 8 10 3.520406506147139e-07 1.673717265822164e-07 0 0
12.5 10 15 0 0 0 0
17.5 15 20 0 0 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
